kaesang , video apaan sih ini
made pyr , kakak chandra dan oktofian lucu banget
vini oktaviani , damn
zyrokun , dat meme
kresna aryo , shooting star nya kebanyakan abang
hobby gaming , shooting star edit nya keren habis
haril hilmawan , editannya lucu banget <haha>
ryan nugraha , so samanya shooting stats meme v
fahreza ardainsyah , abang ngga kena copyright ?
itu yang lagu bag rider shooting star
captain gaming rendy januar , kali disini ada yang mau collab game sama gue atau collab apa gitu <haha> mampir ke channel gue ya gaes
immawan hafidzin , channel kesukaan gue , abang chandra liow dan edho zel , sukses terus untuk kalian berdua , jangan lupa collab lagi abang
fildzah ds , musik apa ya itu
m mocca pratama sediana , abang reza , badannya sudah gede keren abang
mantav mantav
lucia de yong , editannya ngakak
voletta armida , trending lagi ini nanti
rizki prasetyo rev , beest
michelle liman , lagu nya apa ?
yang editan terbang ke manalah itu
shisilf , mau ikutan eclipse aja aku aku
<haha> <haha>
dhiya khalilah , editannya <haha>
deby sonya , please banget abang editannya ha
wtfyoutuber , cie klarifikasi dichannel orang
razh id , main mobile legend abang
reza rachmanuddin , editing nya kretif banget abang v
user pc , happy holiday , bubar aja aja
wahyu jayadi , trending no 1
jovan sitinjak , <haha> , ini qna parah , ampun bro chandra
mufti nugraha , 1 01 ngakak orang penting kok dilaporin
1 26 belum pernah dengar ngakak juga si arap sedih sedih
fenoriko dwi , menit 10 48
yogie virgirio , arap gemukan
vige mardiyansyah , kuampret guyu guyu dewe aku ndelok awakmu kabeh ha
mikfha 123 , judul lagu teet to teeet
bert zuki , trending is ready for you tim tim
eka puput , arap
aldy vandzky , menkominfo ?
mau tutup youtube , bagaimana perasaan loe rap , can ?
jessica dan , detik ke 6 sampai ke 10 itu lagu apa
nightblue , gue kira musuhan sama arap chan
rizkia nora , abang chandra kurusan , abang arap gendutan
<haha> <haha>
dd diphda , you suck dude , just stopi itu itu
whywontyoongi , that comment that degrades women tho
rap straonaut , sebentar sebentar ketawa gue
the al show , subscriber aku dikit sendiri
ngakak kaesang ngomong gitu
anonya gamerz , dari tadi shooting stars mulu
osmeradi krisna , candraanakmeme
game boy , ada shooting star
indri anjeli , editan nya keren abang , bikin video begitu aja sekalian sama lagu nya nya
valentino febrian kencono , lagu awalnya opening apa abang ?
azmi falah , editannya kampret
adenan theodore , bestyoutubechannelinindonesia
rizki radifan j , respect kepada editor video ini yang mudah mudahan ngga begah dengan lagu shootingfreakinstar
ilma ridzky , kakak kpan kolaborasi lagi sma arap , skinya indonesia indonesia , david beat seperti waktu itu lagi ?
sudah lama ngga lihat kalian breng breng
joshua diantara , teeetttoooeetttettoeetttttottetttoeeet
jafaral haj , part 3 nya abang
ibam bam , <haha> editannya gokil
suty fina , <haha> menghibur
thanks thanks
bye max , pusing gue lihatnya
horlan sergio , fix , kok chan adminnya hati hati <haha> <haha>
muhammad fakhrullah , editannya ngakak anjing
jafaral haj , tidak peduli
rissa kusuma , abang chan siap siap aja trending
sekilas itu , ha trio
tapi lucu
apa mungkin yang ngedite nya jago jadi kelihatan pas di toton jadi lebih lucu
rama 123 , tim tim
m , <haha>
sulistyo pr , editnya makin keren abang <haha>
pamungkas tri , lit
july vo , lucu
rizalpancasila , sumpah , gue ngakak pas tet tetet tenonet
nabila islamia , lagu apa sih itu ?
, arap sama chandra uda kelihatan akrab samaf kaesang dibanding video taun lalu <haha>
life of freedom production , berkarya terus brothers , semoga kita bisa 1 level amin
jay xelix , shooting star meme
aditya moha , itu theme song nya apa ya , lucu lucu
anna elvana , kenapa editanya begini
hoxsha_ a3 glow , tercyduck shooting star
jonathan leman , diambil lagi channel gue
sutria ardin , nice kolaborasi , sering sering kolaborasi abang
moonya editing , editanya ngakak
lastri lv , ngakak sama editannya
nina _ , <haha> gue iri sama editan loe kakak
benar benar inspirasi banget
jangan berubah seperti yang lain ya kakak , tetap jadi dampak positif youtube buat orang orang yang nonton kakak
rizky fighters , abang kaesang ototnya gede benar
vanskid vanskid , lagu awalnya apa abang
muhammad faiq sulaeman , kangen collab kaya gitu
verrel ayub , first
wahyu hicker , karena amplop paling gede datang dari loe
satria pratama putra , <haha> lucu banget editannya
zulfikar fauzi , kurang lama
muhammad ravenka , kakak kok ada shoting start lucu sih tentang kaesang ndeso
nine twin , yes , chandra sekarang suka sama dank meme luar negeri , akhirnya akhirnya
ngga gracio , tanjung duren kelapa gading , tanjung duren kelapa gading
but i love itu
<haha> ngakak dengarnya
fikri abi , aokwoakwoak shooting star
nazwan garis , edit tingkat dewa
knuckles , editan tingkat dewa
mas gun , penting , sampai dilaporin
hanif shafa , editan loe keren parah abang
deva , ok fix auto tranding
arinda novia , good tim tim
gibral adammy , bucin apaan ?
claire abigail , editan mantap <haha>
gue ngakak terus
anais the amazing world of gumbal , arap kenapa gitu ?
kaesang terserah aku
gue ngakak so hard
raihanhafdh , terlucu 2017
rizal maxiory , <haha> lucu abang
banyak video shoting star
naya chuchan , ke bali cuma buat nonton spider man
horang kaya kaya
pramana gaming , mantap editannya otw_ trending
progamersid , kenapa bikin aku a ?
karena paling mudah bikinnya
gede sveta , <haha>
alfin delpiero , im here before trending
aditya fatama , sumpah ngakak parah , kalau sudah lihat 3 orang ini bersatu dalam 1 video <haha> <haha>
anang prast , nanya dong , guys
itu music teet tetet teteteeet teteteeet judulnya apa ?
rio surya , sumpah dari dulu sampai sekarang editingnya keren tim tim
rikyryanh , editnya lama nih , efeknya
, atau memang sudah ada footagenya sendiri sendiri
rio tinto , yang di awal itu judul backsound nya apaan abang ?
clessya olivia , seriously this guy knows how to make us laugh
bukan cuma pakai becandaan spontan yang receh but through his editing skills and a hilarious dialogue with the suitable guests <haha> had invited to make a video with
al hail chandra liow
malasmikir televisi , jadikan video tim tim ini trending
steven sanjaya , mungkin abang chandra ketularan shooting star meme
elemeno , gila , ada video seperti gini terus si bisa ketawa terus <haha> <haha>
great of hack , shooting stars
noni cantika wiguna , yang di comment ngga nulis pertama firs dasarndeso
faiq fayyadil , nah , kalau mau trending videonya 59 detik aja abang
judulnya kaesang adu panco lawan reza arap , menang siapa ?
rizky bro , bantu up dong abang chandra , arap dan agung hapsah aku a lagi lagi
didiaditya , gue ngerasa dari video ini ingin menjebak netizen supaya melaporkan lagi <haha> soalnya kaesang aslinya tidak korupsi
dixty dixty , padahal 1mnit kok gue ngerasa seperti cma 3mnit doang ya _
ben benavita , kok , saya merasa terganggu dengan editan yang melayang melayang dan lagu aneh itu ya
diulang diulang terus
jadi membosankan
sepertinya kakak chandraliouw editannya ngga begini deh
mengapa kah , kakak ?
bilal marimo , <haha> mau dictator memang buah jth ngga jauh dari pohonya
awas pasukan baper dtg dtg
al gaming , jangan bubarin weird jenius dong kakak arap
astry roberto , itu backsoundnya apa ya
rhaki raditya , tim tim
prysc , salam kecebong
super jj , teeeet teret tet tet tai ganggu banget
meilindah yustiah , comehere before 100k
evone le , kaesang
yazid 1
6m , semakin cerdas
cok andi , aku a yang paling bagus pasti di tim tim
affan muhammad , salam kecebong
nouvo yt , abang banyakin shooting star nya <haha> , sekalian terbang terbang
sakti channel , that edit tho
naya chuchan , shooting staaar
im dying dying
steven larsson , <haha> z fcked up
zig zag gamer , pertanyaan kapan
diedit shoting to star meme meme
nugroho 66 , tim tim dari semua video yang gue tonton cuma chanel ini yang keren dari cara editingnya aja sudah gwp
sakti channel , place , place , place
adiel raihan , btw editan mntp
arfian , mejeng di video calon trending sebelum yang comment 1k
muhammad rais , nice abang
hanna mazlan , my favorit trio
banyu biru , god , keren sekali editannya
lian berli , today its my birthday
boleh kah saya dapat 5 like like
putra aldyla , tetttetetttetettetteetet
ayes vanraz , andovidalopezbucin
sutan sutan , gue benci kaesang dia bilang ngga peduli rakyat internet nya aja yang cepet kita lemot wo
sigit syn , cek kucing saya nyanyi despacito
ridho alfarezi mobile legends indonesia , pakai vpn aja kalau di blokir
unknown man , trending nih nanti
psychopath , gox sih editan nya
van nes , badan kaesang body goals
vincentius , calon trending
dwi pahar , tim tim memang thebest
, dasar ndeso
stephani amelia , mari tetetetetet di luar angkasa
perfect gamingid , mau ikutan eclipse aja <haha>
ayu nurjanah , mas kaesang , abang arap , gemukan
faktor collab samaf kok chandra kah ?
yulidwi cahyanti , keren sekali abang abangquh
dini syawabilla , ini video atau meme lucu sih
fatya nurul , yawla
abi dzulfikar , sumpah gue suka sama editingnya
hendrik susanto , otw trending lah
senin coy , ada yang bisa bantu jawab lagu pas abang chan bilang and you are watching me me di intro ?
raka aryandwika , ndeso ndeso
anugrah setiawan , abang backsound yang di galaksi judulnya apaan ?
ken valey , arap kq gendutan ya
makin ganteng
jangan di subscribe , dan sekarang kaesang ngga malu malu lagi
rvg kiel , yang paling bucin itu bukan andovi melainkan pemilik channel ini sekaligus ceo mr
potato chandra liow
dia rela pergi ke bali nemuin pacarnya cuma untuk nonton dan langsung pulang
idahid 95 , kalian kalau sudah kolaborasi bareng petcah , the best lah
btw editannya keren abang
na na na , anak presiden indonesia menjadi mahasiswa dari universitas di luar indonesia
anak pemimpin negara aja tahu cuy pendidikan indonesia
isi titik titik di atas
rezakedo , that shootingstar meme s
ngakak so hard
septi mp , made my daaay
nauri , setuju sudah kaesang masuk eclipse
btw editannya mantap bet sudah buat yang kali nih
sukses terus abang abang
dikdan raihan , chand video loe kok mesti bagus sih ?
leo the high , epic jumpscare 10 49
said hidayah , effectnya keren abang chandra liow
selalu mengutamakan kualitas setiap video
that the point beibeh
i like tim tim 4ever
be be , kaesang muscle nya
juju onyols sikonyols , sungguh sangat menghibur tim tim
satria , dasar
isi sendiri
kharisma ilham , bangkai shooting stars
ayu eka aprillya , apa cuma gue disini yang gemesh sama editing nya
, judul lagu 0 06 apa ya ?
naruto sasuke , <haha>
f l kali , anjir shooting stars
reza pratama , youtube sama facebook mau ditutup
gumbal watterson , bucin=budakmicin
koko kelvin , apa jadinya jika kaesang bergabung di eclipse
azhar yusuf , selinting ganja kali shooting stars
koko tampan , tim tim mantap sudah
rakha a , to much shooting stars
ageng ristiawan , viral nih
giovannya miyanda , bucin itu apaan ?
lydia hartanto , andovi da lopez raja bucin lah ya ha
hasdi alam , kecebong dipiara
kambing dipiara bisa besar
chen wandra , yang mau belajar bahasa mandarin silakan ke channel saya
a op , kaesang garing sekali
nial alan , bakal trending
chilli queen dendo , hy hallo
zainsinjay , abang can buat video cara bikin skrip dong tahap tahap apa saja ,
gladys nanda gladys , tunangan juga dong k4k ch4ndra , t3ru5 b3rk4ry4 l4gi , b14r s4m44n k4y4 k4k r3z4 k4k t0mmy ,
ngurah agung bawa , judul lagu pas intro nya apa ya ?
nofita andini , mantap , menko kemaritiman , mau menjaga laut laut
ganang saputra , gue paling suka kalau nih orang tim tim collab sama arap ditambah kaesang
naura putri latifa , keren editingnya
abdul wahid , sebentar lagi tranding
fahri adam , sebentar lagi trending
am 10
22 , mantab editing abang
livia verren , abang
kok ngeeditnya kocak sudah
rifqi adli , editannya luar biasa
ghastly , salah ngomong ?
diluar sudah siap dor <haha>
am 10
22 , buset sudah
rio gandhi , <haha> ngeditnya sih epic loe
rvg kiel , judul lagu meme nya apa sih ?
am 10
22 , o
alghazi 09 , kocak sudah editannya
vota doni , youtuber terbaik <haha> land
gusti satria , siannya
ferouz syahalam , ngakak anjir
oshitb 94 , sudah ngga grogi sekali kaya tahun lalu ya <haha>
zorcius gitu , anjir lah ngakak
yang ngga like ndeso ndeso
yogie alfath , durasinya kurang lama abang
padahal seru
rahmat saputra , tim tim
hallo bosque semuanya , ubah judulnya jadi
shooting star meme with tim tim
rio apryanto75 , judul lagu pas kaesang punya sayap plis jawab
ind , best aku a 2017
si gendutz , itu musik awalnya apa ya judulnya ?
andrew jeremy , jangan kebanyakan editan sound efek nya kurang feel abang
pizzarcastic , the meme was expired already goddammit
irvan taufik arifianto , lagu apa sih itu yang dijadiin editan ?
ingin tahu bos
jainur romli , editannya makin mantap kok chand
isa riadi , bucin apaan ?
cahya gunawan , sapa yang di putar balik pas ngomong what what sap
hayo jujur
razzaaq alfattaah , shooting star meme everywhere
real ayudesy , hidup dimana ?
randy prasetyo , otw trending
ervant brilliant , mantap sudah
ryan verdiansyah , gue masih bingung sama tato arap itu antara handsfre atau tato sih huhu
timbul natanael , tim tim is back
jangan di subscribe , hari ini gue ngga ulang tahun nih , minta 1m like dong dong
rhyril srhy , sebentar lagi bakal di tiru para youtubers abang kreasi edit vlognya
suci wulandari , aluus
annisa qadriyah , judul lagunya apasih ada yang tahu ngga ?
insan bmi , that op
minecraft production , abang ke rumah aku dong
s utami televisi , abang chandra sepertinya diet abang chandra berhasil , kelihatan lebih kurus abang makin ganteeng
arin astaria , please sekali ya abang shooting star meme tiap 2 mnt skali
wgwgwgwg luv
aisyah eka , memang andovi se bucin apa sih ?
aku ngga paham
jehuda jason aer , cek channel aku
andrew jeremy , abang jangan kebanyakan edtan sound efek nya kurang jadi feel nonton nya
michael hartanto , effectnya debes
esan gibran , aku kuga ultah plis kasih 10k
badfaceworkshop devekun , keren abang
the last guardian , awal awal langsung ngakak gue <haha>
the boy , siapa yang disini sebelum kajo dan andovi sadar kesindir
erna susanti , kok sepertinya editannya ngga seperti biasa
bagaimana gitu lihatnya
agung sewang , nonton seperti kurang lama gitu
5eyes , subscribe channelku dong
black razor razor , 37 menit 37k views
fatur rangkuti , penting sampai di laporin , ngakak <haha> <haha>
good boy , tranding tranding
zulfin hariani , go galaxy nih video
fytreazt , menit 10 50 jumpscare
jonathan gerry , itu judul lagu yang pas di intro depan sendiri apa sih namanya
gue cari ngga nemu nemu
slimers indonesia ,
ghandy november , tim tim editingnya slalu keren
walu cuma sekedar qna
rhyril srhy , cara ngeditnya keren abang
ventiduer films ramadhan permana , kacau
anas arif , 16k views here
erick renata , 8 8
riana febriani , akhirnya upload juga
biy , editnya ada yang baru nih
ide baru ya abang
fiery alex , calon trending youtube no 1 nih pasti
faishal 270703 , nih orang seneng amat samaf meme shooting star ya ?
stayrey channel , subscribe channel aku ya
fery nisar , ganti style edit abang
leo umboh , memang time time
paling bisa sudah
lvmlx , kaesang gue mau ikut eclipse
bubar ya abang ?
rizky fauziah , ngakakan video sebelumnya yang sama kaesang juga <haha> tapi ini lucu
ulum abang di ambil dong blok magma , kolektorkecebong
ira ira , bucin sih apa ?
eda meliwati , paling seneng lihat mereka
mochammad fitrah , abang bikin
tipe tipe dong
sab rinq , kaesang gantengan
alfiyatu nuuriyyah , ini bagian klarifikasinya yang mana ?
minta di smack john cena loe ?
, keren abang editnya
naufal , ngakak sendiri gue
jemi nor zaman , mantap abang
rafa dky , abang ngedit nya jangan lebay dong cang feel nya hilang plies dong
qanita ayu , salfok badan kaesang sama badan chandraliow
marcel indrasakti cintarsa , ke
yogi kusuma , imo kalian berdua masih kelihatan awkward sih samaf kaesang
jadi untuk kontennya kelihatan kurang menarik
yang bikin lucu karena editannya doang
hidden man code 7554 , tuuuuut tut tut tut trut
suri sofyan , itu backsoundnya apa ya ?
ada yang tahu ?
marcelline sastraminata , aku mah apa atuh cuma bisa nunggu kabar baik dari kalian aja
achmad faisal , helo trending
nurami nust , abang chaaan ajarin editing yang sampai terbang terbang doongs ha
munsyir abdul , eclipse sudah bubar ya ?
nadzwa alfia , pas chandra bilang happy holiday arap bilang sudah bubar juga ?
ciho ginting , memang loe rajanya ngedit chan
indra barkah , ntapz abang chan
hawari jundullah , eclipse <haha>
septian 23 , editan terkerennya abang chandra
rizal maulana , baru 33 menit sudah 4ribu like
ira ira , mas kae merasa an ngga serius ha
reinard noldy , mabuk lagu shooting star gue gang
anu gerah , akakkskwkw kocak
carl johson , shooting star star nya itu lho
noel joseph , anak presiden mah bebas ngomong apa
sheva sayyid , gue suka banget tekhnik sinematografi nya
edit nya juga mantap
andra marki , ditunggu youtube rewind
syauki althaf , hey
iman faizal , mau bikin trending nih kiwkiw
farid wajdi , mantapz otw trending ngga ya
alim serba bisa , yang nonto sebelum 1 milyard views mana suaranya
ilham effendi , ha every se collab with arap and kaesang i m dying
osul bopers , akhirnya 3 orang itu balik lagi collab
abang kapan mao bikin tim tim lagi ?
badi arsep , ngga akan di penjara kan anak presiden ,
malah yang ngelaporin sekarang yang di tangkap polisi
abda days , editannya tim tim bikin aku mau collab samaf kecebong
alfathan dandy pradana , ha
nabila arliyani , sabar arap
natallia guntoro , sebelum gue nonton , gue sudah nebak pasti nih video lucu
penta yoga , bangsat editannya
terlalu luar biasa , keep up the good work abang chandra
itsmine gaming , perfect editing
masker fingerstyle , yang mizone yang mizone
anime indonesia , 1
05 lagu apaan
yagatakessa , shooting star meme
risky alfienda , nice abang
jenniferjes , da best intro eper
nimnim chennel , tumben kgk deg an
elsa sidabutar , ha lucu banget
s dwil , bakal trending nih video , like kalau setuju setuju
fieryalu cards , ngapain youtube di tutup nonton televisi ha bosen anjing semoga ngga jadi nutup youtube
youtube youtube youtube lebih dari televisi boom kalau loe mau elektronik canggih hp canggih harus ada youtube ngapain di tutup mendingan gue tembak aja si penutup youtube atau gue bunuh diri aja aja
seno satrio wibowo , that shooting star
gladys nanda gladys , kocak sekali parah , gaya editing baru nih k4k ch4ndra
kitana kun , pasti trending kalau video ini ngga trending potong pisang gue
flithy frank , editan level 999999999999999999
maayd1 , apa yang gue buat bubar
devan sukietra , baru 27 menit views nya sudah banyak
selow dot loow , <haha>
gamer gendut , lagu apa itu
info gorontalo , kereen bro
salam dari gorontalo
mittokomon , editan nya ngeselin
rafli apriyanda ,
ikhsan fadli , auto trending
ira ira , aral sekarang lebih berisi lebih ganteng sekarang
avriza viransyah sp , mampir ke chennel gue dong
deva a , cinematography nya ciamik
rio gustam , penculukin channel lagi
rio gustam , penculukin channel lagi
kentang _ , to much rising star
ngakak so hard
marcel biasa , apa cuma gue yang lihat meme nya berulang kali ?
sandra amelia , andovi bucinya bagaimana abang ?
muhammad ariel , tiap kali ada shooting stars , kok gue ketawa ya ?
dark meow , shootingsang
joacheim pangaribuan , ada jumpscare idung gerak gerak
baihaqi arsyah , benar kata master dedy kaesang terlalu polos polos
taufiq alif , ngakak anjir
arib shafiy mulia , mantap abang abang
regan euy , 3 54 ngakak so hard
malkom amando , shooting star meme aja
riva pandu dinata , si tae kenapa harus ada intro bulan gitu can
waninety5 , calon tranding nih video
alfi yatna , banyak sarkas ya wqwqwq
spec terania , banyak amat sudah shooting starsnya
nurputri medal , editannya suka bikin senyum sendri
nathan wijaya , lagunya terngiang ngiang di kepala
aditya januardi , waktu dengar lagu shooting the star langsung gue doain jadi trending
tri harsoyo , shooting star dadakan
raja faried , kocak anjir
liyan silaban , video klibeit
prasandi pinasthiko , btw bagaimana kabar eclipse nih ?
yacob _ alan , ke e c e b o dan ke t e r b a e ke
prasandi pinasthiko , mantab
khumaidi azra , apa cuma gue yang keingat dota wtf ?
abidkhawarizmy , lagu didetik 7apa ya judulnya ?
wahyu darma , mantap
iyykorop xhyxhox , editanya
petter pank , abang jangan terlalu sering dipake yang beegitu begituan yang seperti ada lagu e terus warna e gaenak
hamster cuma , dafuq opening nya
irham juani , trending kakak
roxart 281 , anjir
ada lagu shooting star
carlosthomas , shooting start
chua tumurang , boom
meylani angelina ,
hafiz maulana maulana , loe eclips bubar ?
raida rais , t e r c ya di u ke
fahema the gamers , subsback cumainfo
kevas jaccob , sudah ngga terlalu kaku ya sekarang ha
len s story , cek video aku ya
lcoolboy 24 , jangan pernah percaya comment yang di edit
cuih , bucin apaan plis
danu ardhian , keren
abid wibowo , sepertinya meme shooting star sudah lewat abang
mra 1886 , abang lebih banyakin question nya di banding edit nya
nasywa octaviani , judul lagu nya apa sih yang pas di edit edit
bagas satriya , penuh dengan meme shooting stars
enjang rahmanto , sa ae cubluk
farrel julio , intronya mantap
nana le , bebas bos
mega wti1ndonesian ,
a , yo kolaborasi lagi yo
alfi munawir , music pertamanya apa ya
hafiz putra , abang loe lama lama jadi hati hati loe ngeditnya begitu <haha>
eradigital 08 , keren abang
one gamers1 gamers1 , kecebong kolektor
handika ardiansyah , likenya dong
always m1nd , auto tranding
muhammad faqih , sebelum jadi 2 juta lebih
siapa yang nonton video sebelum 10
000 viewer ?
bayu purnama , editnya ganggu
lebih bagus taun kemaren kemaren
al hail adolf krabs , candra baru bikin meme shooting star liow
rezaoktovian , arap mana
jorgy ru u , amplop paling gede dari kamu
ferdy daniel rakhman , copyright nya masih 2016 <haha>
fahmi huda w , langsung trending
fasya fasya , editannya ngakak sumpah sudah
sukses kaesang , chandra sama arap arap
muhammad rafli dwi putra , aku maunya masuk eclipse eclipse dat face chadra sama arap ha ha
alsela puti maaruf , yes finally new uploader video again
righa pradana , kaesang jawabnya becandaan mulu ya
jadi krik krik bagaimana gitu
ha tapi editannya chandra tetep keren sih kaya biasa
nano gaming , edit nya makin menjadi jadi
tapi makin keren juga <haha>
tegar firmansyah , masuk trending nih
rifki zidan , ada yang nonton sebelum trending ?
apriyanto chandra , seperti tai yang satu tatoan ha
neng memel , ini nih yang aku tunggu
chandraliow , rezaarap , kaesang
baek loey , bisa ngga gue minta 1k like kaki gue patah nih
natasya rivani , 0 53 arap si bakteri
bro id , besok trending
chi pricilia , ngakak so hard
bonifasius petrus canisius sukresna , njiiir ha gue suka gaya loe
gong yo jin , bakal trending
tarom wae , bakalan trending nih
dcp chandra , kok video ini ngga jadi trending ?
ahmad asofa , tim tim <haha> salah
tim tim
nuka hanif , gaya editing baru nih bangchan
sulthan aliiif , anjay shooting star
gong yo jin , ini orang bertiga kalau collab mau qna atau pun itu , mbok sejam juga ngerasanya dikit
ya ngga sih ?
no name , besok reza atap oktavianus
jadi super r
ivan rinaldhy saputra , tim tim reborn
adil firmansyah , comment dibawah 1000 yo
duta herdian , tet tetet tetotet tetet tetotet
fadli fk , abang kaesang bilang bapak
youtube jangan di tindakan dari indonesia
arp , kurang lama deh kalian kolaborasi nya
alia fitri , t e r c ya di u ke
fxllta_ , lagu apa sih <haha> ?
allesio fernanda , ngga berhenti ngakak anjir
catreca gaming , trending treding trending
dani maulana
, kow ngakak mas
samurai reject , edittingnya ngakak anjir
subscribe dong channel saya terima kasih , reza blue claw oktovian
bro official , ke l a r i f i ke a s i ke a e s a dan ngga
rizal muhaimin , fix trending nanti
mario caesar , habis ini , video ini bakal di download
terus diedit pakai windows movie maker
dan dilaporkan ke polisi
tapi yang ternyata yang melaporkan adalah seorang
isi sendiri ya gaes <haha> <haha>
rivaro farrelino , chan
coba tanya kaesang , tahu arti t e r c ya di u ke ke ngga ?
galang anarqi , lagu yang awal awal apaan ?
rafi aditya , gg shooting star ha
r , shooting stars
raihan adyatma , editing on point
ammar raedi , kocak
alxjonathan cover more
, ha
bintang maheswara , hore gue dibilang penting
w_ c , tutor shooting star meme nya dong
bakul telo premium , reza arap oktovian gamer tampan idaman boom
vincent cent , harusnya izinin aja kaesang ikut ecliphse sorry ngga tau tulisannya
terus bilang aja youtube ngga usah diberhentiin kan ecliphse itu di youtube <haha>
ara ayi , shooting stars for lyfe
edsel w , lagunya apa ya ?
heryan djaruma , kaesang ternyata suka nge lucu ya
bryan tan , otw trending
inzaghi prananta , ngakak anjir videonya
groax gaming , keren abang chan
dimaz yudha , ngakak
chandra wisesha , gue benci comment yang di edit
satria permana , yo
park yoorei , akhirnya collab lagi
dwi ardhian , lagunya diawal judulnya apa sih ?
sammytrd_ 45 indonesia , kaesang muka nya datar aja sudah
raf 21 , shooting stars ha
azidhan zdn , menit ke 10
50 ada jumpscare
hafidfaris , t e r dan ngga a ke a ke
hs 1965 , aku yang suka tuh dari editanya itu lho very very ngakak so hard
syifa safira , ngga se kaku yang pertama ngga si
keren banget , janganbaper
arif lukito , overused and misused meme
heryan djaruma , 10 49 ngakak sumpah
harian si anang , salamkecebong
xto production , notice squad
muhammad yurzal , jangan lama lama uploadx doooonk , bosen nunggu anjir
tyrech movie , berapa kali abang chandra bikin shooting stars di video ini ?
dia istiqlalia , lagunya ngga nyambung kakak candra
rigel mahyuza , shooting stars be like
dedy dwayne , kakak suara nya sama gerak mulut ngga sama kakak
reza pratama , sub mas nanti diback
rizal wicakz , lagi ramai ramai nya meme shooting star nie ?
ega zarga ,
udin swek , kurang lama
catreca gaming , ahirnya tim tim
rizky ramadhan , happy holiday <haha> who remember this ?
isal mulhaq , chandra ketagihan shooting star
naz diary ,
daniel aruan , lucu banget abang sampai ngangkak
muhammad ikhsan , ngakaks
ramadhoni suryo , itu lagunya apasih ?
tarah ghibran , awas terciduk
happysuckers _ gitu , itu lagu apa sih kok lucu
mauliddinar try s , chand , kenapa ngeditnya lucu sih terbang terbang
seperti kecoa kecoa
angga stnt , ngga pernah bosen kalau ngelihat aku dan a dari team 2 one
irfan hadi , good editing abang chandra liow
abyan firoshi , ada bodyguard nya ngga nih ?
olivia ananta asri , ha bae bae ya kalau dilaporin lagi bikin klarifikasi lagi
jamp , collab terbaik sepanjang peryoutubean indonesia
yang setuju like nya mana mana
raz zulu warriror , akhirnya arap chandra
simeon batara , ngakak editanya
abril tafaullana , dat shooting star tho
m meidiano al fajri , siapa yang non4on dbawah 10
gabriel ursa , ready for trending
fuji astuti , anak president
jenice anirun , 7 menit 1k like
matthew wijaya , yang mau nanya lagunya nih gue kasih bag raiders shooting star
gandi narendra , subcribe my youtube channel video menarik akan segera datang
mazmur harapan kita , di menit pertama gue sudah ngakak gara gara shooting star
smile budi , judul sama tumbnail nya bikin orang kepo anjir
sudiyasa putra , jadikan trending gaes
dwi satria , tim tim masih ada ngakak
moci , lagu yang teeet tonet tet toneeeeeet judulnya apa ?
ridho vr , abang ajak edho zel dong abang biar ramai
hawila bryan , t e r c ya di u ke
bahit muhammad , shooting stars meme compilation
bintang maheswara , shooting starsnya mantap
chie khie , oh
gerry tama , that edit
nice dude
zubaedah znf , kesel sudah sama editannya
ngeselin bikin ketawa mulu
gloria gmail , baru menit ke 1 56 aku dh ngakak terus chan lihat editannya bagus
anaya nathanie , pokonya kalau kok chan sudah collab sama arap , my day s complete complete
midnight production , orang penting kok
tapi kok di laporin ?
blez juice , akhirnya yang di tunggu dtg juga
antonya komaro , wow , sudah lama kaesang tidak ada di channel tim tim ha
cek channelku , ngga maksa maksa
muhammad fauzan ramadhan , openingnya shooting star <haha>
denzme , kok telat banget tahu meme shooting stars
sudah basi kok
farid dzakwan , anjay editan nya
wahyu oktiyawan , wow kaesang kolektor kecebong
candraliow kolektor lensa reza arap kolektor tatto
arumshe mutzbgtz , kocak
aqshal prawira , awas ada yang triggered
faris ihsan , shooting stars is a dead meme now
hack now
, itu lagunya apa yang tetetetetet yang diluar angkasa
rahimah isnaeni , <haha>
donya nanda , mungkin kita memang orang ngga penting , tapi subscriber kita penting huua huua
chandra liow arap arap
ghina salsabila , mana video yang sama tim jepang kakak chan
asma syarah , sukak abang chand sama arap
dhaffa saputra , siapa fans sama chandraliow
selina admi , kok kakak kaesang badannya makin kekar ya
denkuns play , nyehnyeh
nandana yori , lucu banget abang
dj muas _ r , pertamax
tarisa nurul salimi , kenapa sih editannya fak gue receh halp
nandana yori , <haha>
nadyta nazira , abang subs nikah ye
mbah osas , arap rada gendutan
vincent l , hai
syahrul dianuari , shooting star mulu chan <haha>
vincent cent , rekt by kaesang <haha>
luky bd , <haha>
pecinta game , mantap abang semoga tahun ini turun 20 kg <haha> <haha> btw judul lagu yang biasa buat tim tim aku and a apaan ya
ghozy gaming , wah to much menembak bintang meme
widya berlianti , un just
yudha mg , wah sudah bervariasi nih tim tim
vito raffy , yep , yutub indonesia trending material material
asma syarah , siapa di sini yang nonton sambil tiduran ?
xf1nity_ , i so laughing every time , pas shooting stars meme nya anjir ngakak ngakak
fahmi dochi , orang jawa barat
bilang hadir dong
xx gamimg , ngeditnya yang bikin videonya seru
vito raffy , yep , yutub indonesia trending material material
fadhilah damar , suscribe channelku fadhilah damar di jamin suscribe balik bagi yang mau silakan
